"","mu_bar","theta","omega","sigma_x","sigma_y","Q(Theta_{t-1}, Theta_{t-1})","Q(Theta_{t}, Theta_{t-1})","sum_pui","sum_pui_t_diff","sum_pui_x_diff","sum_pui_y_diff","sum_pairwise_g","sum_pui0"
"16",58.3911275013202,6.87269818791794,0.0857370423588092,0.139855283676601,0.139471610854636,-723201.510566747,-723146.21976359,162024.274331845,1874895.85740785,3161.18414433269,3143.8313710683,156640.102867183,32666.7256681557
"17",58.3731510681763,6.9475038894242,0.0848415618316534,0.139378552393436,0.138975247366329,-723058.59533605,-723044.449132474,162629.481362675,1901676.67463905,3151.75037007373,3133.39700553517,156767.369725456,32061.5186373244
"18",58.2874906141756,6.99880313865721,0.0841834786094051,0.138952254688712,0.13853092515333,-723315.280293313,-723306.957347331,162693.443908706,1917165.88517302,3135.78508254844,3116.69255488941,157379.823231078,31997.5560912961
"19",58.3122702222597,7.01458392163615,0.08369691846986,0.138715577289771,0.138272322586613,-723382.242533053,-723378.324712571,162724.39002513,1928537.55033364,3120.98578972129,3101.2200753864,157592.699730962,31966.6099748709
"20",58.287206208911,7.05080743144428,0.0833553351149064,0.138436634214766,0.137980503968162,-723559.94429485,-723557.040613616,162706.102604324,1936218.05179566,3111.48333575527,3090.90266872795,157375.608003334,31984.8973956733
"21",58.3004633707481,7.05803955884607,0.0831013699331229,0.138298512572131,0.137826956494804,-723500.023742109,-723498.758488339,162716.713687642,1942210.56618819,3101.69506130059,3080.63683402113,157585.248631962,31974.2863123609
"22",58.2827256244183,7.0865043691084,0.0829213123056062,0.138096671359201,0.137615432919602,-723567.601312033,-723566.350681586,162699.630768638,1946164.46355282,3096.02764238213,3074.39756063148,157416.178301894,31991.3692313634
"23",58.2830190182753,7.08671250120105,0.0827859231607761,0.13802124975116,0.137530133373002,-723443.447188748,-723442.984643674,162706.234541132,1949449.13549702,3089.050078435,3067.06201523455,157630.889461001,31984.7654588714
"24",58.2702715189177,7.10981495060657,0.0826907953549284,0.137874938364318,0.137375747410356,-723475.939511629,-723475.308331534,162690.761760986,1951465.24615709,3085.78231447987,3063.42919602431,157453.729746275,32000.2382390156
"25",58.2648301211211,7.10735942101477,0.0826127337315007,0.137831779202366,0.137326304441292,-723341.976799854,-723341.764953706,162697.331141796,1953321.30628162,3080.85236493747,3058.20037634743,157670.628733871,31993.6688582077
"26",58.2535689019427,7.12625464908807,0.0825602514136906,0.137721222965859,0.137211012089707,-723361.083715574,-723360.719061084,162684.766532898,1954425.13027989,3078.87203329715,3055.98849470685,157511.097844154,32006.2334671034
"27",58.2415889060835,7.12016699746408,0.0825181984962907,0.137713287904653,0.137196159634564,-723237.188995089,-723237.062817979,162691.558375573,1955550.05772716,3075.23898728157,3052.18073073157,157712.195352835,31999.4416244271
"28",58.2322089507188,7.13621981789713,0.0824897686824766,0.137628060599089,0.137107636625262,-723270.071847273,-723269.827854936,162682.075776919,1956079.40600018,3074.61635876029,3051.30105316163,157545.050354116,32008.9242230789
"29",58.2121466718074,7.12683855180093,0.0824646465696792,0.137648499564581,0.137120188482892,-723159.997051575,-723159.88518653,162689.444555999,1956790.88522584,3071.9034562078,3048.46648814055,157736.021748984,32001.5554440041
"30",58.212146671807,7.12683855180171,0.0824646465696763,0.137648499564984,0.137120188483295,-723218.19989504,-723218.19989504,162683.212983935,1957063.78831702,3072.37454868685,3048.64250105619,157551.077364,32007.7870160661
