,score_change_repay,score_change_default,utility_default,potential_score_update_mode,agent,avg_max_unfairness_dp,avg_mean_unfairness_dp,initial_unfairness_dp,avg_max_unfairness_cs,avg_mean_unfairness_cs,initial_unfairness_cs,avg_total_utility,n_traces
329,12,-32,-6,large_var,eqopp,0.290459287149748,0.27710491369555446,0.26474775206245443,31.81846722314794,30.26611147594153,28.470232739418428,60339.0,10
330,16,-32,-6,large_var,eqopp,0.292300539212249,0.27795159122563173,0.26474775206245443,32.06237454189918,30.428904571195126,28.470232739418428,61349.3,10
331,20,-32,-6,large_var,eqopp,0.290473288074946,0.27826835120550764,0.26474775206245443,32.19305018041609,30.553662255171513,28.470232739418428,61880.7,10
332,8,-40,-6,large_var,eqopp,0.29018604935087233,0.2771742326714795,0.26474775206245443,31.48177482502436,30.03864834332988,28.470232739418428,58276.5,10
333,12,-40,-6,large_var,eqopp,0.2925546832277286,0.2778501549027909,0.26474775206245443,31.946320331034336,30.338562198252475,28.470232739418428,60296.8,10
334,16,-40,-6,large_var,eqopp,0.2922540365453916,0.2784118393374285,0.26474775206245443,32.140925204757345,30.50379264373553,28.470232739418428,60759.0,10
335,20,-40,-6,large_var,eqopp,0.29284860238179394,0.27902279248287876,0.26474775206245443,32.077429640281295,30.51096602784093,28.470232739418428,58805.7,10
336,8,-16,-5,large_var,eqopp,0.28673237013215214,0.27777205275714484,0.26937365293465454,31.0585247956267,29.831923988452523,28.470232739418428,64683.9,10
337,12,-16,-5,large_var,eqopp,0.28742500815096933,0.2786713373832686,0.26937365293465454,31.56644557342482,30.130061735643164,28.470232739418428,65851.0,10
338,16,-16,-5,large_var,eqopp,0.28709156150678233,0.27943947663514374,0.26937365293465454,31.82088579540575,30.34065580655376,28.470232739418428,65320.0,10
339,20,-16,-5,large_var,eqopp,0.2877531264455572,0.28007440964047625,0.26937365293465454,32.00007229443356,30.54362638808509,28.470232739418428,66797.0,10
340,8,-24,-5,large_var,eqopp,0.29121045633922743,0.2804585333022832,0.26937365293465454,31.33726405672519,29.9797074156387,28.470232739418428,62903.2,10
341,12,-24,-5,large_var,eqopp,0.2931310469227161,0.2818812140187514,0.26937365293465454,31.894670604727963,30.321232876480014,28.470232739418428,65252.4,10
342,16,-24,-5,large_var,eqopp,0.292478230644558,0.2822887088313503,0.26937365293465454,32.09571700820518,30.468499674698297,28.470232739418428,65041.0,10
343,20,-24,-5,large_var,eqopp,0.29382155956444345,0.2836251125342387,0.26937365293465454,32.12526589750709,30.564646435138297,28.470232739418428,65000.8,10
344,8,-32,-5,large_var,eqopp,0.29492919243930354,0.28316931323750194,0.26937365293465454,31.580233418994105,30.132811371129247,28.470232739418428,62481.1,10
345,12,-32,-5,large_var,eqopp,0.29573101775196825,0.28367132567692693,0.26937365293465454,32.05566433210746,30.40030620189761,28.470232739418428,63534.2,10
