,hot_spot_discover_rate,non_hot_spot_discover_rate,hot_spot_effect_size,avg_max_unfairness_rln,avg_mean_unfairness_rln,initial_unfairness_rln,avg_utility_mean_discover_rate,avg_utility_total_discover_n,avg_n_correct_hotspot,n_traces
35,1.0,0.5,2,0.2909363192913007,0.172275522320687,0.007390833830002435,0.7830638297867004,38863.0,16.281875,16
36,1.0,0.45,2,0.31374077737398204,0.18240562563049223,0.007390833830002435,0.7576443751160312,37602.208333333336,16.222916666666666,24
37,1.0,0.4,2,0.3380361410550745,0.20132199347637378,0.007390833830002435,0.731239097043164,36293.0625,16.1425,32
38,1.0,0.35,2,0.361703522776865,0.2120741117164806,0.007390833830002435,0.7039573210762401,34940.666666666664,16.067395833333332,24
39,1.0,0.3,2,0.3763932878158054,0.22601624010638643,0.007390833830002435,0.6750345451574329,33509.1875,15.9840625,16
40,1.0,0.25,2,0.38934030684765686,0.23728165154761297,0.007390833830002435,0.6471619074512771,32129.875,15.91890625,16
41,1.0,0.2,2,0.4102132339491826,0.25185153403438365,0.007390833830002435,0.616463336136246,30611.4375,15.666718750000001,16
42,0.95,0.5,2,0.28173305150860717,0.16813657644558944,0.007390833830002435,0.7555998990851512,37501.0625,16.29328125,16
43,0.95,0.45,2,0.29292368447302697,0.17633864240379402,0.007390833830002435,0.7314263568474582,36297.6875,16.246328125,32
44,0.95,0.4,2,0.3218236740238212,0.1896108572531281,0.007390833830002435,0.7064214420068974,35056.958333333336,16.170416666666664,24
45,0.95,0.35,2,0.35284734801570256,0.20857211550245025,0.007390833830002435,0.6777917248914368,33642.958333333336,16.063125000000003,24
46,0.95,0.3,2,0.3817981290281222,0.22834181093386297,0.007390833830002435,0.6504831803359316,32285.041666666668,15.96875,24
47,0.95,0.25,2,0.39379849167970954,0.2432682931371089,0.007390833830002435,0.6210362232032758,30827.71875,15.85671875,32
48,0.95,0.2,2,0.41106518076552206,0.2579394040382455,0.007390833830002435,0.5904128073287983,29311.333333333332,15.633229166666666,24
49,0.9,0.5,2,0.26807912232251435,0.16165191519738337,0.007390833830002435,0.7298868561789611,36218.8125,16.309531250000003,16
50,0.9,0.45,2,0.29852550046115467,0.17450617735238916,0.007390833830002435,0.7043814760642352,34957.708333333336,16.228854166666665,24
51,0.9,0.4,2,0.31827478183104185,0.18825246967032525,0.007390833830002435,0.678250860177843,33660.333333333336,16.144166666666667,24
52,0.9,0.35,2,0.34287339416600937,0.20131787226592235,0.007390833830002435,0.6536565015034163,32440.416666666668,16.0603125,24
53,0.9,0.3,2,0.3566913249947157,0.21630846802695838,0.007390833830002435,0.6261414517990892,31080.875,15.994166666666667,24
54,0.9,0.25,2,0.38378782266127337,0.23428566846533158,0.007390833830002435,0.5965143218751094,29612.208333333332,15.876354166666667,24
55,0.9,0.2,2,0.41919915304831273,0.2602874784473754,0.007390833830002435,0.5648521816194877,28043.25,15.662916666666668,24
56,0.85,0.5,2,0.2643113437915148,0.1561610770883722,0.007390833830002435,0.7020909284555248,34840.8125,16.312343749999997,16
57,0.85,0.45,2,0.2759143474930775,0.16451339359059147,0.007390833830002435,0.6784747896823216,33669.3125,16.26484375,32
58,0.85,0.4,2,0.3019980856434304,0.17856537092312214,0.007390833830002435,0.6531649046042526,32414.9375,16.174453125,32
59,0.85,0.35,2,0.3301960372783395,0.19554882331887988,0.007390833830002435,0.6260404032255551,31072.083333333332,16.066458333333333,24
60,0.85,0.3,2,0.3443612045515588,0.21096844218707964,0.007390833830002435,0.5991465764228621,29739.3125,16.02109375,16
61,0.85,0.25,2,0.38188892260853946,0.23068197024252488,0.007390833830002435,0.5723298294292595,28405.3125,15.88828125,16
62,0.85,0.2,2,0.41021270448364333,0.247676946554566,0.007390833830002435,0.5428746331059092,26947.4375,15.69140625,16
63,0.8,0.5,2,0.2556592861106444,0.15059097682263747,0.007390833830002435,0.6738894984903773,33439.5,16.336875000000003,24
64,0.8,0.45,2,0.2709989160695018,0.1579998752450481,0.007390833830002435,0.6503837587499759,32273.291666666668,16.28197916666667,24
65,0.8,0.4,2,0.2882863421303494,0.17171871151914453,0.007390833830002435,0.6266815377231508,31101.3125,16.225078125000003,32
66,0.8,0.35,2,0.31849992427850515,0.1858292386947824,0.007390833830002435,0.601442822562224,29849.3125,16.130390625,32
67,0.8,0.3,2,0.343191421660331,0.20119035683709152,0.007390833830002435,0.5748680114147728,28532.375,16.0134375,16
68,0.8,0.25,2,0.36548646999063883,0.22227290713439024,0.007390833830002435,0.5480502016376361,27203.34375,15.933359375,32
69,0.8,0.2,2,0.394646128743918,0.24766421996946258,0.007390833830002435,0.5160737055711853,25618.8125,15.721015625,32
70,1.0,0.5,3,0.27301875948905263,0.14960528525777744,0.007390833830002435,0.8436076163339987,41853.125,16.442812500000002,32
71,1.0,0.45,3,0.2968192159002504,0.15807408282729773,0.007390833830002435,0.8244241819478632,40901.625,16.398359375,32
72,1.0,0.4,3,0.31426662602102673,0.1746527291760461,0.007390833830002435,0.8025421285810566,39814.9375,16.329609375,32
73,1.0,0.35,3,0.3191320932892173,0.1860168412360565,0.007390833830002435,0.7798095730871042,38683.75,16.28640625,16
74,1.0,0.3,3,0.3285060989797579,0.18941755557711637,0.007390833830002435,0.7613337785397867,37765.8125,16.2571875,16
75,1.0,0.25,3,0.3334842853123455,0.20561612999314732,0.007390833830002435,0.7332789028893981,36378.875,16.089062499999997,16
76,1.0,0.2,3,0.33765066432273194,0.21177955690090877,0.007390833830002435,0.7081786191844093,35136.75,15.9559375,16
77,0.95,0.5,3,0.25542875818252075,0.14365283713849122,0.007390833830002435,0.810845826607167,40227.125,16.455546875,32
78,0.95,0.45,3,0.278697032219493,0.15244671938742166,0.007390833830002435,0.7931657321409917,39351.03125,16.417265625,32
79,0.95,0.4,3,0.2967138282745291,0.16069014627007383,0.007390833830002435,0.7730805255400499,38353.5,16.372109375,32
80,0.95,0.35,3,0.29423523866526496,0.1673024827637657,0.007390833830002435,0.7520238258904226,37306.333333333336,16.372500000000002,24
81,0.95,0.3,3,0.310563803088093,0.17709667940619497,0.007390833830002435,0.7310295187737138,36262.5,16.3125,16
82,0.95,0.25,3,0.31767066032795627,0.19596429543922042,0.007390833830002435,0.7084067071186814,35140.0,16.245,24
83,0.95,0.2,3,0.34339597582429054,0.22728651866980815,0.007390833830002435,0.6730555762720533,33392.5,15.901250000000001,16
84,0.9,0.5,3,0.259303982997479,0.14445500698322367,0.007390833830002435,0.7770564712991245,38551.5,16.47625,16
85,0.9,0.45,3,0.27727526064035507,0.14929384124731973,0.007390833830002435,0.7607848178872594,37743.666666666664,16.463333333333335,24
86,0.9,0.4,3,0.2809540193477718,0.1518951842422939,0.007390833830002435,0.7443910132603216,36930.0,16.44416666666667,24
