,model,threshold,n_hosp_mode,n_prescription_mode,avg_max_unfairness_risk,avg_mean_unfairness_risk,initial_unfairness_risk,avg_max_gap_tpr,avg_mean_gap_tpr,initial_gap_tpr,avg_max_gap_fpr,avg_mean_gap_fpr,initial_gap_fpr,avg_max_gap_precision,avg_mean_gap_precision,initial_gap_precision,avg_max_gap_f1,avg_mean_gap_f1,initial_gap_f1,avg_max_gap_accuracy,avg_mean_gap_accuracy,initial_gap_accuracy,avg_utility_tpr,avg_utility_fpr,avg_utility_precision,avg_utility_f1,avg_utility_accuracy,n_traces
20,xgboost,0.7,same,expectation,0.0316259004175663,0.017220428213477135,0.0011719241738319397,0.18702408702408704,0.15457940947940946,0.14594664594664594,0.019623399617233743,0.004941232260562925,0.0009319756449049001,0.08520231197401289,0.03402203125854313,0.012757201646090566,0.08501194149730221,0.04607328507356715,0.08068783068783074,0.01149487919918718,0.007166307686214077,0.009524096891443845,0.41783691148775903,0.02254733903487393,0.3171431336680215,0.3561888529428111,0.9645876526106155,10
21,mlp,0.3,same,expectation,0.0252352237701416,0.014731933864951132,0.0038971900939941406,0.11140896140896142,0.05234814814814816,0.09764309764309764,0.03222308102981282,0.013236513101441591,0.00702160260974985,0.024333662371257447,0.01689129554421115,0.018687121571588222,0.03399176685846202,0.026138440795152974,0.016371290415186424,0.029383493333804366,0.014071398837921458,0.01178145004140807,0.7378922787193973,0.26150864536712903,0.07246574818668225,0.12950103262489776,0.7384775824746731,10
22,mlp,0.4,same,expectation,0.024991467595100403,0.014314967051148417,0.0038971900939941406,0.1175990675990676,0.06938552188552188,0.10670810670810671,0.019030872675788325,0.009713113506327588,0.011650355203486576,0.022886006814510428,0.01573326765817093,0.006097146263497555,0.03379251916134389,0.02303565391721677,0.022181710264128573,0.020132752392531483,0.012508326753518812,0.01741951259595642,0.6561145009416196,0.17364344396685424,0.09823954791990676,0.16583213593674292,0.8224428608537536,10
23,mlp,0.45,same,expectation,0.025001426537831623,0.014383689848581951,0.0038971900939941406,0.12495899162565831,0.0844872485539152,0.10800310800310794,0.01625450327574881,0.01120521603952734,0.009601056312270016,0.019268662812548264,0.0126337316474705,0.010808893093661315,0.03437882421824713,0.01877422804727238,0.03120518203954742,0.019721848828507662,0.015064169202786519,0.01577200681941482,0.6131324544883868,0.13629595426950855,0.11639423190867548,0.1887883433268485,0.8579436545732676,15
24,mlp,0.5,same,expectation,0.025536268949508667,0.01468062988370657,0.0038971900939941406,0.12799792799792797,0.09356467236467236,0.10204610204610198,0.012493356573804324,0.009123653507582093,0.009838764492575588,0.03240115191788011,0.013866089670558223,0.02926161586268128,0.054192761951030365,0.021035619987636603,0.05051664753157292,0.018385530549279515,0.014041896410559205,0.016443301632262264,0.5556244821092278,0.10259041077679798,0.13619454359900168,0.21013485437375104,0.8895522902415796,10
25,mlp,0.55,same,expectation,0.024087092280387877,0.013644183625280856,0.0038971900939941406,0.11129241129241133,0.08737446257446257,0.09052059052059054,0.01324171469678027,0.009917390444494549,0.007290523319812378,0.03486670278499484,0.0150445939841159,0.03017902813299228,0.05675073945748417,0.02338680242619205,0.05202434028196157,0.01886565404341033,0.0155698425161058,0.014043626144675248,0.4923774011299436,0.06406544068772987,0.17935169810800863,0.25311790897272274,0.9257376223049615,10
26,mlp,0.6,same,expectation,0.02476949244737625,0.01423493202123791,0.0038971900939941406,0.10218369593369594,0.07604988992488992,0.07264957264957267,0.016826932723924028,0.011551470133061282,0.005783703093713904,0.052918851325455235,0.023970665296265996,0.04361830815539991,0.06830370949762125,0.036559161365181066,0.057949374288964794,0.0222063841794592,0.017676758844030336,0.012744292381415723,0.4309508003766478,0.03789769353480746,0.2354163910874446,0.2948008146044768,0.9498916626980691,16
27,mlp,0.7,same,expectation,0.024896645545959474,0.014241631691157816,0.0038971900939941406,0.09128464128464128,0.06592232582232582,0.06190106190106193,0.012593117380441632,0.007722663296987971,0.0036990995212814793,0.07977660554231712,0.04539480921720311,0.06643356643356642,0.0790870252674843,0.054065742381762635,0.06633235047241896,0.019204710674949988,0.014629653575704426,0.011333081173258153,0.3449905838041431,0.018906004342624187,0.3160919213846086,0.3232609043694403,0.9664706121742143,10
28,xgboost,0.3,random_1,expectation,0.03399761766195297,0.018423674628138542,0.0011719241738319397,0.11336441336441334,0.08204169904169904,0.10334110334110336,0.04502859450081202,0.028992030448134826,0.004772349190393904,0.0399511086511477,0.029499602810365916,0.036744219596716754,0.052664923850746725,0.04526834838873302,0.04128730900166255,0.04372321113195499,0.026167386189002977,1.127365334552266e-05,0.7476199623352167,0.2215460185226215,0.08103436375580184,0.14439463885362236,0.7777451381071954,10
29,xgboost,0.4,random_1,expectation,0.03415770083665848,0.01841649040579796,0.0011719241738319397,0.1328930328930329,0.10477047397047397,0.10787360787360789,0.043847210914384135,0.02552889194334377,1.8857076317359278e-05,0.051972628682703526,0.03813924903449212,0.03317493698929219,0.06105393684407743,0.04977120926528182,0.01910753938881249,0.040607830474638305,0.021469816870051617,0.005875366928780101,0.6745619585687382,0.1460005317499003,0.11213136276181337,0.1877570692246187,0.8498743787340896,10
30,xgboost,0.45,random_1,expectation,0.03399215266108513,0.018289150670170784,0.0011719241738319397,0.1403004403004403,0.11479785029785028,0.11344211344211344,0.04004782129274383,0.021795335331272304,0.0021698988606597136,0.05372089810226309,0.040654591915482374,0.023029144768275167,0.06267958326675496,0.046742008472576514,0.00048245220357245877,0.036117519275385035,0.017858899961518866,0.008448894811207586,0.6299713747645951,0.11386642442504542,0.13354900609286385,0.2140507948035483,0.8802446618754871,10
